epoch,mAP,AUC,macro_spec,weighted_spec,macro_acc,strict_acc,weighted_acc,macro_precision,micro_precision,weighted_precision,macro_recall,micro_recall,weighted_recall,macro_f1,micro_f1,weighted_f1
1,0.2556003676141309,0.5401185498041585,nan,nan,0.9451953657428444,0.043548387096774194,0.8019294021966,0.14492217530748408,0.7801543251658318,0.6791002142682574,0.13220014743134126,0.642904953145917,0.642904953145917,0.12960416721005638,0.7049110146168429,0.6348979486943723
2,0.2738617247462183,0.5497119275302624,0.9457581700371602,0.7688725803865647,0.9486710586097231,0.16451612903225807,0.820623173698378,0.17915074574619008,0.7796652824965395,0.6963841885224703,0.15483679262365677,0.6912092815707274,0.6912092815707274,0.15700741403561325,0.7327774821122346,0.6735556076341312
3,0.30179850546239917,0.5609012974894252,0.9410212890132609,0.7095111902749105,0.9463993639254887,0.17096774193548386,0.811416634279052,0.1819422732310344,0.7647499064487963,0.7138727786406619,0.16668133697503607,0.6839580544399821,0.6839580544399821,0.16215738748391081,0.7221011718980036,0.6833287212425914
4,0.3047001873230957,0.5558894988357194,0.9409368311339497,0.7375316358027031,0.9488300772376196,0.04838709677419355,0.827071907702495,0.2054828999189661,0.8024691358024691,0.7494200607321163,0.15351833657567626,0.6598616688978135,0.6598616688978135,0.16366774178118704,0.724211815120906,0.6822343969682051
5,0.316303363105618,0.5605797534373254,0.9445503574336084,0.7537984804248146,0.9524988641526583,0.13709677419354838,0.8380649839501375,0.2149555845109579,0.8155186064924782,0.7506548798684992,0.1626630740827224,0.6894243641231593,0.6894243641231593,0.1747011001959638,0.7471889735219441,0.7052444561685104
6,0.3146121041062594,0.5656292882724832,0.9442680119163271,0.7487722391050916,0.9517378464334398,0.1064516129032258,0.8366089807257707,0.20980797756445474,0.8099934253780408,0.7460906795129213,0.17063964549583338,0.6871932173136992,0.6871932173136992,0.17971281266703407,0.7435572454583861,0.7044435692162517
7,0.31943661140099444,0.5658399431147533,0.9458202388950022,0.7573037928494063,0.9530327124034537,0.12419354838709677,0.8413357732003283,0.2117190467396063,0.8092737287050084,0.7458823754197287,0.17438819804266956,0.7048192771084337,0.7048192771084337,0.18322367402600231,0.7534434440403076,0.7157987904593599
8,0.31936858212623076,0.5699091878747644,0.9455384866685024,0.747488746370519,0.9525442980463431,0.18387096774193548,0.8371736048135197,0.21819323415731504,0.8032953105196451,0.7464285402619971,0.18242475944236133,0.7070504239178937,0.7070504239178937,0.1872725496139979,0.7521063249080338,0.71351678450369
9,0.31859332670016505,0.5686819625755339,0.94514309390823,0.7504761265540953,0.9522489777373923,0.17258064516129032,0.8381153646845448,0.21079351744581312,0.8048936715347169,0.7388624102025175,0.18062670100342654,0.7009147701918786,0.7009147701918786,0.18781653991818295,0.7493142516398331,0.7106663341936831
10,0.31615590531961774,0.5647849588143454,0.9455964616659355,0.7554957358664219,0.9526010904134488,0.1596774193548387,0.8383487354435666,0.2191655661614015,0.8069973087274125,0.7466709875529799,0.17268737974392429,0.7024765729585006,0.7024765729585006,0.1834801598152777,0.7511182680264806,0.7130936962858782
11,0.3229084091863257,0.5706741098362822,0.9444843882467889,0.7426808331698932,0.9525897319400279,0.15,0.8389261346461117,0.22401411364671894,0.8072876571721838,0.7502602355686214,0.1831209934736595,0.7019187862561357,0.7019187862561357,0.1905448195082102,0.7509249313760592,0.7142747737133504
12,0.3236385818208948,0.5667705893099235,0.9454569312212096,0.7548664319758767,0.9529759200363472,0.15806451612903225,0.8391132630881951,0.21881607697036398,0.813328137178488,0.7511244642106297,0.17481442203333827,0.6984605087014726,0.6984605087014726,0.185974361257953,0.7515304285199856,0.7142839272747145
13,0.32235500827944696,0.5719233803542553,0.9447907513844015,0.7422026743859944,0.9527601090413453,0.15806451612903225,0.836871500338271,0.22472565108456674,0.8085270322332092,0.752443724712238,0.18415347337006344,0.7023650156180277,0.7023650156180277,0.19301107649231306,0.7517163154438541,0.7172303987886981
14,0.3141779234196599,0.5689839095906812,0.9461054385965454,0.754308025459318,0.9528964107223993,0.15806451612903225,0.8396023160743333,0.21413286573520346,0.8040651432899887,0.7420293639735742,0.18116900630434363,0.7105087014725568,0.7105087014725568,0.18913125517566556,0.7543973941368078,0.7179659869660654
15,0.3191777930746203,0.5689294813040041,0.9443263592648861,0.7417699552040918,0.9520672421626537,0.16612903225806452,0.8366843718961869,0.20846138504994297,0.8031697341513292,0.7432468640805393,0.1813050249449438,0.7010263275323516,0.7010263275323516,0.18490681269786666,0.7486299737908031,0.7103081175676612
16,0.3155562619166101,0.5671591913174182,0.9452851633028028,0.7512396462452297,0.9527146751476603,0.14838709677419354,0.8390135812065467,0.2165978475339703,0.8091435930457179,0.7482549592916449,0.17561373621786397,0.7009147701918786,0.7009147701918786,0.18543805808794625,0.7511506963954808,0.7152970747391114
17,0.3201691377514075,0.5701438316213392,0.9460698793448173,0.7523312769269933,0.9532371649250344,0.1774193548387097,0.8412299736580732,0.21567670594908167,0.806966434452185,0.7457437732366191,0.18299458688054177,0.7107318161535029,0.7107318161535029,0.18926249298972525,0.7557980900409276,0.7177735264232923
18,0.3245927789623293,0.5664549707271225,0.9444538306891653,0.7470416566986016,0.9520218082689691,0.13870967741935483,0.8361416994141441,0.21911387736488028,0.8070743715988599,0.7513968132655235,0.17439538506934746,0.6948906738063365,0.6948906738063365,0.18414101710899972,0.7467929504855534,0.7115161104262799
19,0.3156692025648348,0.5687505289034493,0.9455836931342494,0.7544648422409805,0.9526010904134488,0.14677419354838708,0.8401707187171628,0.2132432712451327,0.8058215243201838,0.7447197563187065,0.18039850038768204,0.7041499330655957,0.7041499330655957,0.18801905907955813,0.7515627790676906,0.7146505541926852
20,0.3232227593117611,0.5700467572930743,0.9464516449411055,0.7552653288970297,0.9532258064516133,0.18225806451612903,0.8410226929222268,0.22081756157175123,0.8065536437246964,0.7449892481604924,0.18332753400809615,0.7111780455153949,0.7111780455153949,0.19018020846573472,0.7558691012568177,0.7159426285884083
21,0.3190513305678949,0.569775879231287,0.9454072541358323,0.750458566911331,0.9531576556110862,0.14838709677419354,0.839533402426912,0.22480904772550273,0.8120969822027341,0.751184690814653,0.1798551041424358,0.7024765729585006,0.7024765729585006,0.19130316586995053,0.7533197750927144,0.7174346546189972
22,0.31765822046326975,0.5670025916555391,0.9459288111888722,0.752536939269856,0.9529759200363475,0.16129032258064516,0.8391458306343657,0.2195615202959081,0.8046223793887345,0.7452298860979848,0.17711486934067552,0.7107318161535029,0.7107318161535029,0.18527087525609648,0.7547683923705722,0.7186649339760134
23,0.31771729410356137,0.5668855240765395,0.9458556943126742,0.7564095880363383,0.9529872785097686,0.14516129032258066,0.8403427329389241,0.21319953036203343,0.8088593009857893,0.7456502459556389,0.1759435612928247,0.7048192771084337,0.7048192771084337,0.18575399460756165,0.7532637853949329,0.7171853180240875
24,0.31560611171343717,0.5640933448833761,0.9441000310341294,0.748440420482639,0.9518627896410724,0.12903225806451613,0.8354531027335148,0.21360474103762614,0.8045103092783505,0.7432883553293779,0.17278832995120563,0.6964524765729585,0.6964524765729585,0.18393290233101822,0.7465917244678306,0.709729271093094
25,0.3119861310985489,0.566977077603005,0.9448405234058503,0.7476051311935407,0.9526919582008184,0.17580645161290323,0.8372013142174435,0.2149016341740054,0.8079835707868053,0.7449321945185493,0.17747722752635423,0.7022534582775547,0.7022534582775547,0.18669294910462692,0.7514174873172189,0.7131242386466464
26,0.31546071078060794,0.5664955284400092,0.9456936813430764,0.755589559842731,0.952294411631077,0.16774193548387098,0.8371493141022874,0.21304697064663453,0.805228088159918,0.7444908916095857,0.17705860473609106,0.7010263275323516,0.7010263275323516,0.18472665756573659,0.7495229007633587,0.7100858756840934
27,0.32019065154698595,0.5668715472443173,0.9450015006268232,0.7488732944024359,0.9527033166742394,0.15,0.8375113356652417,0.2181548254989626,0.808641975308642,0.7484807526914807,0.17577722716072236,0.7014725568942436,0.7014725568942436,0.18678686018675725,0.7512544802867384,0.7155914050077082
28,0.3246158840431059,0.5673421510723111,0.943593873678506,0.737875310668124,0.9516015447523857,0.13870967741935483,0.8330222322983691,0.2129565659010937,0.8055880441845354,0.747046614645783,0.17492478152661856,0.6915439535921464,0.6915439535921464,0.18483264463003163,0.7442223422774478,0.7103752071330514
29,0.3101706633638356,0.5667788338054385,0.9451730978564583,0.7508506553588137,0.9521353930031806,0.1596774193548387,0.8348836205035196,0.21265112302979167,0.8046434068753207,0.7442229774211087,0.17659374835310704,0.6997991967871486,0.6997991967871486,0.18511473472632514,0.7485680190930787,0.7110809397976867
30,0.3223964804761974,0.5704535783524752,0.9446558968048885,0.7440031262248655,0.9525670149931852,0.1532258064516129,0.8376122770652503,0.21213336189745696,0.806844398872084,0.7461919229256729,0.18263030635682623,0.7022534582775547,0.7022534582775547,0.18964007704137967,0.7509244900393653,0.7152827576892394
